CodSite,lat,long,abundance,habitat,spp
area11,-21.976389,-43.878889,218,Montane Cloud Atlantic Forest,Alchornea tripliner
area4,-28.733333,-49.75,41,Montane Dense Ombrophilous Atlantic Forest ,Alchornea tripliner
area5,-22.616667,-43.883333,1,Montane Seasonal Atlantic Forest ,Alchornea tripliner
area10,-21.999167,-43.890833,3,Montane Dense Ombrophilous Atlantic Forest ,Alchornea tripliner
area12,-27.816111,-50.324167,29,Mixed Ombrophilous Atlantic Forest,Allophylus guaraniticus
area2,-22.528333,-50.715556,2,Montane Dense Ombrophilous Atlantic Forest ,Allophylus petiolulatus
area8,-20.673889,-40.393889,2,Submontane Dense Ombrophilous Atlantic Forest ,Allophylus puberulus
area9,-8.032611,-35.192125,29,Lowlands Seasonal Atlantic Forest ,Alseis floribunda
area13,-8.016667,-35.174167,1,Lowlands Dense Ombrophilous Atlantic Forest ,Alseis pickelii
area9,-8.032611,-35.192125,5,Lowlands Seasonal Atlantic Forest ,Alseis pickelii
area4,-28.733333,-49.75,77,Montane Dense Ombrophilous Atlantic Forest ,Alsophila setosa
area8,-20.673889,-40.393889,1,Submontane Dense Ombrophilous Atlantic Forest ,Amaioua guianensis
area7,-7.633333,-35.5,6,Montane Dense Ombrophilous Atlantic Forest ,Amaioua guianensis
area10,-21.999167,-43.890833,16,Montane Dense Ombrophilous Atlantic Forest ,Amaioua guianensis
area11,-21.976389,-43.878889,1,Montane Cloud Atlantic Forest,Amaioua guianensis
area6,-19.616667,-43.4,3,Montane Seasonal Atlantic Forest ,Amaioua intermedia
area9,-8.032611,-35.192125,2,Lowlands Seasonal Atlantic Forest ,Amphirrox surinamensis
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Anadenanthera colubrina
area1,-20.798333,-41.292778,94,Submontane Seasonal Atlantic Forest,Anadenanthera peregrina
area13,-8.016667,-35.174167,24,Lowlands Dense Ombrophilous Atlantic Forest ,Anaxagorea dolichocarpa
area3,-22.7222082,-42.628058,2,Submontane Dense Ombrophilous Atlantic Forest ,Andira anthelmia
area3,-22.7222082,-42.628058,2,Submontane Dense Ombrophilous Atlantic Forest ,Andira fraxinifolia
area13,-8.016667,-35.174167,5,Lowlands Dense Ombrophilous Atlantic Forest ,Andira nitida
area8,-20.673889,-40.393889,1,Submontane Dense Ombrophilous Atlantic Forest ,Andira nitida
area1,-20.798333,-41.292778,5,Submontane Seasonal Atlantic Forest,Andradea floribunda
area5,-22.616667,-43.883333,1,Montane Seasonal Atlantic Forest ,Aniba firmula
area10,-21.999167,-43.890833,2,Montane Dense Ombrophilous Atlantic Forest ,Aniba firmula
area8,-20.673889,-40.393889,30,Submontane Dense Ombrophilous Atlantic Forest ,Annona acutiflora
area4,-28.733333,-49.75,4,Montane Dense Ombrophilous Atlantic Forest ,Annona cacans
area11,-21.976389,-43.878889,20,Montane Cloud Atlantic Forest,Annona cacans
area4,-28.733333,-49.75,2,Montane Dense Ombrophilous Atlantic Forest ,Annona neosericea
area4,-28.733333,-49.75,12,Montane Dense Ombrophilous Atlantic Forest ,Annona rugulosa
area12,-27.816111,-50.324167,15,Mixed Ombrophilous Atlantic Forest,Annona rugulosa
area4,-28.733333,-49.75,6,Montane Dense Ombrophilous Atlantic Forest ,Annona sericea
area3,-22.7222082,-42.628058,12,Submontane Dense Ombrophilous Atlantic Forest ,Aparisthmium cordatum
area6,-19.616667,-43.4,13,Montane Seasonal Atlantic Forest ,Aparisthmium cordatum
area7,-7.633333,-35.5,1,Montane Dense Ombrophilous Atlantic Forest ,Aparisthmium cordatum
area10,-21.999167,-43.890833,94,Montane Dense Ombrophilous Atlantic Forest ,Aparisthmium cordatum
area7,-7.633333,-35.5,1,Montane Dense Ombrophilous Atlantic Forest ,Apeiba tibourbou
area3,-22.7222082,-42.628058,13,Submontane Dense Ombrophilous Atlantic Forest ,Apuleia leiocarpa
area5,-22.616667,-43.883333,2,Montane Seasonal Atlantic Forest ,Apuleia leiocarpa
area6,-19.616667,-43.4,8,Montane Seasonal Atlantic Forest ,Apuleia leiocarpa
area12,-27.816111,-50.324167,198,Mixed Ombrophilous Atlantic Forest,Araucaria angustifolia
area11,-21.976389,-43.878889,1,Montane Cloud Atlantic Forest,Aspidosperma australe
area7,-7.633333,-35.5,1,Montane Dense Ombrophilous Atlantic Forest ,Aspidosperma discolor
area4,-28.733333,-49.75,12,Montane Dense Ombrophilous Atlantic Forest ,Aspidosperma olivaceum
area11,-21.976389,-43.878889,2,Montane Cloud Atlantic Forest,Aspidosperma olivaceum
area9,-8.032611,-35.192125,1,Lowlands Seasonal Atlantic Forest ,Aspidosperma parvifolium
area8,-20.673889,-40.393889,42,Submontane Dense Ombrophilous Atlantic Forest ,Aspidosperma parvifolium
area2,-22.528333,-50.715556,5,Montane Dense Ombrophilous Atlantic Forest ,Aspidosperma ramiflorum
area7,-7.633333,-35.5,1,Montane Dense Ombrophilous Atlantic Forest ,Aspidosperma spruceanum
area2,-22.528333,-50.715556,3,Montane Dense Ombrophilous Atlantic Forest ,Astrocaryum aculeatissimum
area3,-22.7222082,-42.628058,18,Submontane Dense Ombrophilous Atlantic Forest ,Astrocaryum aculeatissimum
